sku,detalle,costo,venta,desde,hasta,empresa_id
40400003860,GALL FRAC CLASICA COSTA 52GR,216,315,1-9-2020,2-12-2020,3
40400003865,GALL GRAN CER COSTA MUES COSTA 135GR,543,793,1-9-2020,2-12-2020,3
40400003866,GALL GRAN CER FIBRA CACAO COSTA 135GR,576,841,1-9-2020,2-12-2020,3
40400003869,GALL GRETEL CHOCO COSTA 85GR,736,1075,1-9-2020,2-12-2020,3
40400003871,GALL KUKY CLASICA MCKAY 120GR,381,556,1-9-2020,2-12-2020,3
40400003874,GALL LIMON MCKAY 150GR,365,533,1-9-2020,2-12-2020,3
40400003876,GALL MANTEQUILLA MCKAY 140GRS,365,533,1-9-2020,2-12-2020,3
40400003906,GALL NIK BOCADO COSTA 71GR,372,543,1-9-2020,2-12-2020,3
40400003909,GALL NIZA MCKAY 150GRS,391,571,1-9-2020,2-12-2020,3
40400003920,GALL SODA FAM COSTA 180G,768,1121,1-9-2020,2-12-2020,3
40400003927,GALL TRITON CHOC MCKAY 126GR,324,473,1-9-2020,2-12-2020,3
40400003928,GALL TRITON VAINILLA MCKAY 126GR,324,473,1-9-2020,2-12-2020,3
40400003929,GALL TUAREG COSTA 120GR,413,603,1-9-2020,2-12-2020,3
40400003933,GALL VINO MCKAY 155GR,365,533,1-9-2020,2-12-2020,3
40400003958,MANI SALADO EVERCRIPS 430G,1389,2028,1-9-2020,2-12-2020,3
40400028458,CAFE NESCAFE TRAD. 420GRS,6605,9643,1-9-2020,2-12-2020,3
40400029321,PECHUGA PAVO DESH ARIZTIA KG,4103,5990,1-9-2020,2-12-2020,3
40400029423,HUACHALOMO VAC VACIO CONG MARFRIG KG,4000,5840,1-9-2020,2-12-2020,3
40400029431,"JUGO DURAZNO PET WATTS 1,5 LT",786,1148,1-9-2020,2-12-2020,3
40400029432,"JUGO NECTAR DAMASCO PET WATTS 1,5 LT",786,1148,1-9-2020,2-12-2020,3
40400029433,"JUGO NECTAR NARANJA PET WATTS 1,5 LT",786,1148,1-9-2020,2-12-2020,3
40400029434,"JUGO NECTAR PI#A PET WATTS 1,5 LT",786,1148,1-9-2020,2-12-2020,3
